,cluster_label
AALR3,4
AAPL34,2
AERI3,1
AESB3,0
AGRO3,0
AGXY3,4
ALLD3,3
ALPA3,0
ALPA4,3
ALPK3,2
ALUP11,0
ALUP3,4
ALUP4,1
AMAR3,1
AMBP3,3
AMZO34,2
ANIM3,4
ARML3,4
ARMT34,3
ATMP3,2
ATTB34,3
AXPB34,0
AZZA3,3
B2YN34,0
BBAS3,0
BBDC3,3
BBDC4,4
BBSE3,4
BEEF3,1
BHIA3,2
BIOM3,2
BIVE39,3
BLAU3,2
BMGB4,2
BMOB3,2
BOAC34,0
BPAN4,1
BRAP3,3
BRAP4,4
BRBI11,0
BRFS3,1
BRIT3,4
BRKM3,3
BRKM5,4
BRSR3,3
BRSR6,0
C2OI34,2
C3,3
CAMB3,3
CAML3,3
CASH3,3
CATP34,0
CBAV3,1
CEAB3,0
CEBR3,1
CEBR6,0
CHVX34,1
CLSC4,2
CMCS34,4
CMIG3,0
CMIG4,0
CMIN3,0
COCA34,0
COCE5,0
COGN3,4
COLG34,0
COPH34,0
CPFE3,4
CPLE3,2
CPLE6,4
CRFB3,1
CRPG5,3
CSCO34,4
CSED3,3
CSNA3,0
CSUD3,2
CTGP34,4
CURY3,4
CVCB3,0
CXSE3,4
CYRE3,2
DESK3,3
DEXP3,3
DIRR3,4
DMVF3,2
DOTZ3,1
EGIE3,3
ELMD3,4
ENJU3,0
ESPA3,2
EUCA4,0
EVEN3,2
EXXO34,1
EZTC3,0
F11,0
F4,3
FDMO34,4
FIQE3,3
FLRY3,4
G11,3
G2DI33,1
G3,2
GEOO34,4
GGPS3,0
GMAT3,0
GOAU4,3
GOGL35,3
GRND3,0
GSGI34,3
H3,2
HBOR3,0
HOME34,0
HYPE3,4
I3,0
I4,2
IFCM3,2
IGTI11,3
IGTI3,0
INEP3,2
INEP4,3
INTB3,3
IRBR3,3
ITLC34,4
ITUB3,4
ITUB4,0
JALL3,3
JBSS3,3
JHSF3,3
JNJB34,0
JPMC34,2
JSLG3,2
K3,3
KLBN11,2
KLBN3,1
KLBN4,3
L3,2
LAND3,4
LAVV3,4
LEVE3,2
LJQQ3,4
LOGG3,3
LPSB3,3
LREN3,1
LUPA3,4
LVTC3,2
M1TA34,2
MATD3,0
MBLY3,2
MCDC34,0
MDIA3,0
MDNE3,2
MELK3,1
MGLU3,3
MLAS3,0
MMMC34,0
MOVI3,0
MRCK34,1
MRFG3,1
MRVE3,1
MSBR34,3
MSCD34,4
MSFT34,2
MTRE3,1
MULT3,1
MYPK3,2
NEOE3,0
NFLX34,4
NGRD3,4
NIKE34,4
NINJ3,3
NTCO3,2
O3,1
ODPV3,3
OIBR4,0
ONCO3,0
OPCT3,2
ORCL34,4
ORVR3,1
OSXB3,2
P3,2
PCAR3,3
PDGR3,0
PDTC3,0
PEPB34,3
PETR3,3
PETR4,0
PETZ3,0
PFIZ34,0
PGCO34,0
PGMN3,3
PLPL3,1
PMAM3,4
PNVL3,0
PORT3,3
POSI3,4
PRIO3,0
QCOM34,0
QUAL3,3
RADL3,0
RAIZ4,3
RANI3,2
RAPT3,0
RDNI3,3
RECR11,2
RECV3,3
RENT3,0
RNEW11,3
RNEW3,0
RNEW4,0
RPMG3,4
RRRP3,0
RSID3,2
S2EA34,3
S2HO34,3
S2QU34,0
SANB11,2
SANB3,4
SANB4,0
SAPR11,3
SAPR3,4
SAPR4,4
SBFG3,3
SBSP3,2
SBUB34,0
SCAR3,0
SEER3,0
SEQL3,3
SMFT3,2
SMTO3,4
SOJA3,3
SRNA3,1
STBP3,4
STOC31,2
SUZB3,3
SYNE3,3
T2DH34,0
T2TD34,2
T3,3
TAEE11,3
TAEE3,3
TAEE4,0
TELB4,3
TFCO4,1
TIMS3,4
TOTS3,2
TRAD3,0
TRPL3,2
TRPL4,0
TTEN3,3
U2ST34,3
UGPA3,0
UNIP3,1
UNIP6,4
V34,1
VAMO3,0
VBBR3,0
VERZ34,2
VITT3,0
VIVA3,2
VIVT3,2
VSTE3,2
VVEO3,2
WALM34,4
WEST3,4
WFCO34,4
WHRL4,0
XPBR31,0
YDUQ3,2
ZAMP3,1
