,cluster_label
AALR3,3
AAPL34,2
AERI3,3
AESB3,1
AGRO3,4
AGXY3,1
ALLD3,3
ALPA3,5
ALPA4,3
ALPK3,5
ALUP11,1
ALUP3,1
ALUP4,5
AMAR3,1
AMBP3,3
AMZO34,2
ANIM3,0
ARML3,6
ARMT34,3
ATMP3,2
ATTB34,4
AXPB34,3
AZZA3,3
B2YN34,6
BBAS3,5
BBDC3,3
BBDC4,1
BBSE3,6
BEEF3,6
BHIA3,4
BIOM3,5
BIVE39,6
BLAU3,1
BMGB4,5
BMOB3,1
BOAC34,1
BPAN4,4
BRAP3,3
BRAP4,1
BRBI11,2
BRFS3,5
BRIT3,5
BRKM3,3
BRKM5,5
BRSR3,3
BRSR6,2
C2OI34,1
C3,6
CAMB3,3
CAML3,0
CASH3,3
CATP34,4
CBAV3,1
CEAB3,5
CEBR3,3
CEBR6,1
CHVX34,3
CLSC4,4
CMCS34,1
CMIG3,5
CMIG4,5
CMIN3,5
COCA34,3
COCE5,2
COGN3,0
COLG34,3
COPH34,5
CPFE3,2
CPLE3,3
CPLE6,4
CRFB3,2
CRPG5,6
CSCO34,5
CSED3,6
CSNA3,0
CSUD3,3
CTGP34,0
CURY3,3
CVCB3,6
CXSE3,3
CYRE3,1
DESK3,1
DEXP3,0
DIRR3,5
DMVF3,6
DOTZ3,5
EGIE3,5
ELMD3,3
ENJU3,0
ESPA3,0
EUCA4,3
EVEN3,0
EXXO34,5
EZTC3,2
F11,4
F4,1
FDMO34,5
FIQE3,3
FLRY3,6
G11,0
G2DI33,3
G3,3
GEOO34,5
GGPS3,6
GMAT3,1
GOAU4,1
GOGL35,3
GRND3,1
GSGI34,2
H3,6
HBOR3,1
HOME34,0
HYPE3,2
I3,3
I4,3
IFCM3,0
IGTI11,1
IGTI3,1
INEP3,1
INEP4,0
INTB3,4
IRBR3,1
ITLC34,3
ITUB3,6
ITUB4,6
JALL3,2
JBSS3,4
JHSF3,0
JNJB34,3
JPMC34,3
JSLG3,3
K3,1
KLBN11,3
KLBN3,3
KLBN4,5
L3,5
LAND3,1
LAVV3,4
LEVE3,2
LJQQ3,3
LOGG3,1
LPSB3,6
LREN3,3
LUPA3,5
LVTC3,1
M1TA34,6
MATD3,3
MBLY3,1
MCDC34,0
MDIA3,3
MDNE3,5
MELK3,2
MGLU3,1
MLAS3,5
MMMC34,4
MOVI3,1
MRCK34,3
MRFG3,1
MRVE3,1
MSBR34,1
MSCD34,3
MSFT34,0
MTRE3,3
MULT3,4
MYPK3,1
NEOE3,3
NFLX34,3
NGRD3,1
NIKE34,5
NINJ3,6
NTCO3,2
O3,1
ODPV3,6
OIBR4,4
ONCO3,4
OPCT3,3
ORCL34,6
ORVR3,0
OSXB3,5
P3,4
PCAR3,1
PDGR3,3
PDTC3,6
PEPB34,6
PETR3,0
PETR4,1
PETZ3,6
PFIZ34,3
PGCO34,4
PGMN3,6
PLPL3,5
PMAM3,3
PNVL3,3
PORT3,4
POSI3,1
PRIO3,3
QCOM34,6
QUAL3,0
RADL3,3
RAIZ4,1
RANI3,3
RAPT3,5
RDNI3,3
RECR11,3
RECV3,2
RENT3,1
RNEW11,3
RNEW3,6
RNEW4,3
RPMG3,4
RRRP3,2
RSID3,3
S2EA34,1
S2HO34,5
S2QU34,5
SANB11,0
SANB3,3
SANB4,2
SAPR11,1
SAPR3,1
SAPR4,5
SBFG3,1
SBSP3,3
SBUB34,3
SCAR3,3
SEER3,1
SEQL3,3
SMFT3,1
SMTO3,3
SOJA3,1
SRNA3,5
STBP3,6
STOC31,4
SUZB3,3
SYNE3,2
T2DH34,3
T2TD34,4
T3,6
TAEE11,1
TAEE3,1
TAEE4,3
TELB4,3
TFCO4,1
TIMS3,1
TOTS3,1
TRAD3,2
TRPL3,1
TRPL4,2
TTEN3,1
U2ST34,2
UGPA3,5
UNIP3,3
UNIP6,3
V34,1
VAMO3,1
VBBR3,0
VERZ34,3
VITT3,2
VIVA3,3
VIVT3,3
VSTE3,4
VVEO3,2
WALM34,4
WEST3,5
WFCO34,1
WHRL4,5
XPBR31,1
YDUQ3,3
ZAMP3,2
